Order date;Catalog channel name;Catalog name;Catalog siteId;Order number;Order SKU;Histo SKU price;Order price;Difference price;Status price
16/11/2024;2KINGS;2KINGS_FR;11246;674540;BAB3030050153781;41,92;41,92;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674595;BAB3030050153781;41,92;41,92;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674761;OFAWM2251;20,92;20,92;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674630;LEXRL800HP;24,85;24,85;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674525;MOB3760206480941;14,48;14,48;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674591;MAT0194735139224;28,55;28,55;0;ISO
15/11/2024;2KINGS;2KINGS_FR;11246;674466;BAB3030050129694;33,72;33,72;0;ISO
15/11/2024;2KINGS;2KINGS_FR;11246;674451;AUC3700057132781;29,57;29,57;0;ISO
15/11/2024;2KINGS;2KINGS_FR;11246;674455;BAN3701405801137;25,67;25,67;0;ISO
15/11/2024;2KINGS;2KINGS_FR;11246;674457;LEXCG1300;34,29;34,29;0;ISO
15/11/2024;2KINGS;2KINGS_FR;11246;674283;SAMNZ64M3NM1BBUR;202,95;202,95;0;ISO
15/11/2024;2KINGS;2KINGS_FR;11246;674234;PHI8710103912958;21,7;21,7;0;ISO
14/11/2024;2KINGS;2KINGS_FR;11246;674189;ELH8711904348595;23,79;23,79;0;ISO
14/11/2024;2KINGS;2KINGS_FR;11246;674161;LEXDOG01;37,04;37,04;0;ISO
14/11/2024;2KINGS;2KINGS_FR;11246;674041;LEXRL800D;24,8;24,8;0;ISO
14/11/2024;2KINGS;2KINGS_FR;11246;674079;STJR1000400;118,34;118,34;0;ISO
14/11/2024;2KINGS;2KINGS_FR;11246;674193;AUC3572010516873;51,62;51,62;0;ISO
14/11/2024;2KINGS;2KINGS_FR;11246;674052;AMIIBOPIKACHU;18,42;18,42;0;ISO
14/11/2024;2KINGS;2KINGS_FR;11246;674067;NEF4242004222804;269,8;269,8;0;ISO
13/11/2024;2KINGS;2KINGS_FR;11246;673731;MAT0194735139224;26,22;26,22;0;ISO
13/11/2024;2KINGS;2KINGS_FR;11246;673832;MAS3520190942944;98,59;98,59;0;ISO
13/11/2024;2KINGS;2KINGS_FR;11246;673788;LEXRL800D;24,8;24,8;0;ISO
13/11/2024;2KINGS;2KINGS_FR;11246;673778;KERB82502;40,79;40,79;0;ISO
13/11/2024;2KINGS;2KINGS_FR;11246;673786;CIJ713069;29,8;29,8;0;ISO
13/11/2024;2KINGS;2KINGS_FR;11246;673826;BOSCHMSM66020;31,41;31,41;0;ISO
13/11/2024;2KINGS;2KINGS_FR;11246;673883;FAL3016200204138;64,05;64,05;0;ISO
13/11/2024;2KINGS;2KINGS_FR;11246;673782;26377670;65,9;65,9;0;ISO
12/11/2024;2KINGS;2KINGS_FR;11246;673348;BOS4242002678139;29,03;29,03;0;ISO
12/11/2024;2KINGS;2KINGS_FR;11246;673587;EL500FR;81,93;81,93;0;ISO
12/11/2024;2KINGS;2KINGS_FR;11246;673445;ECO7849;24,38;24,38;0;ISO
12/11/2024;2KINGS;2KINGS_FR;11246;673343;DOM3523930043819;43,97;43,97;0;ISO
12/11/2024;2KINGS;2KINGS_FR;11246;673487;AUC3572010501206;31,35;31,35;0;ISO
12/11/2024;2KINGS;2KINGS_FR;11246;673325;AUC3700057132781;29,92;29,92;0;ISO
12/11/2024;2KINGS;2KINGS_FR;11246;673500;VTE3417765280054;21,08;21,08;0;ISO
12/11/2024;2KINGS;2KINGS_FR;11246;673586;LEXRP500SP;36,19;32,12;4,07;Trop cher
12/11/2024;2KINGS;2KINGS_FR;11246;673498;LEGO42096;142,34;142,34;0;ISO
11/11/2024;2KINGS;2KINGS_FR;11246;673141;CH910D019FR;77,51;77,51;0;ISO
